Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Aruba,76.293,11.756,9.205,,,,,36114,1004,,,106310,17.6204451,590.6111111,46294,,
Africa Eastern and Southern,64.00519747,33.49126913,7.37664367,24.52407994,77.06584932,,1530.059177,10406165,-791282,5087755,5936536,660046272,41.55502294,44.5765074,239539517,55.7709732,
Afghanistan,64.833,31.802,6.285,25.6,66,65.81,494.1793499,382365,-314602,72227,2727556,38041757,42.47227139,58.26939466,9797274,70.69999695,
Cuba,78.802,9.962,9.146,2.5,99,1032,9125.878679,13336,-72000,233,6625,11333484,16.04234991,109.1857803,8739136,6.599999905,
Africa Western and Central,58.11572272,36.70853583,9.96084289,14.63207372,68.48526537,,1777.918672,8270665,-1022839,1315230,1354330,446911598,43.35717426,49.40553474,211133789,51.16813192,
Angola,61.147,40.232,7.981,17.3,57,71.33,2809.626088,106845,32066,25793,8176,31825299,46.62202503,25.52763215,21061028,48.59999847,32.3
Albania,78.573,11.62,8.082,3.9,99,,5395.659532,57616,-69998,120,15027,2854191,17.3995641,104.1675547,1747593,,
Andorra,,7,3.9,,99,2744,40897.33087,42082,,,,77146,,164.1404255,67876,,
Arab World,71.98970937,24.65062382,5.352157196,14.00792571,86.56053621,,6489.043216,34764700,-1408824,9349349,8827555,427870273,32.66945682,32.70738429,253306244,31.0559253,
United Arab Emirates,77.972,10.223,1.521,3.7,99,1843,42701.44305,8095126,200000,1242,155,9770526,14.71261177,137.5742889,8479742,,
Argentina,76.667,16.833,7.604,3.9,86,946,10056.63794,2086302,24000,3857,99,44938712,24.59552588,16.42082662,41339571,14.69999981,32
Armenia,75.087,13.646,9.835,3.4,92,524,4604.646324,191199,-24989,17980,10962,2957728,20.76595201,103.889287,1869846,9.300000191,
American Samoa,,,,,,,11715.36014,23216,,,,55312,,276.56,48203,,
Antigua and Barbuda,77.016,15.107,6.422,,95,760.3,17376.64968,28083,0,,117,97115,21.95473548,220.7159091,23799,,
Australia,82.9,12.1,6.7,2.5,95,5427,54875.28596,6763663,791229,58529,20,25365745,19.27544671,3.297670183,21845994,,
Austria,81.79268293,9.6,9.4,2.5,85,5242,50114.40111,1492374,324998,135951,18,8879920,14.36185763,107.6093068,5196085,,13.3
Azerbaijan,73.005,14.1,5.6,2.5,94,193.1,4805.753718,264241,6002,1109,11626,10024283,23.44191985,121.2800711,5616706,,
Burundi,61.584,38.377,7.766,,93,20.57,228.2135892,286810,10003,78465,380900,11530577,45.40064767,449.0100078,1541177,47.70000076,
Croatia,78.42439024,8.9,12.7,2.5,94,1040,15311.7669,576883,-40004,916,23793,4065253,14.56222109,71.83694999,2327032,,18.3
