"","Country","Region","Programme","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","ISO_code"
"1","Afghanistan","EMRO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,16242858.11,11590121.74,8787571.23,8341589.95,5980310.23,6353823.37,4205407.43,4138221.5,NA,"AFG"
"2","Afghanistan","EMRO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5723713.03,28046401.18,20537667.08,23668212.5,4860280,"AFG"
"3","Afghanistan","EMRO","DTP",NA,NA,NA,NA,NA,3227945.61,5271887.96,1403799.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFG"
"4","Afghanistan","EMRO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1424155.23,NA,416700,"AFG"
"5","Albania","EURO","HepB","39000",106889,52028,53093,112158.62,40223.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB"
"6","Albania","EURO","Hib",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ALB"
"7","Albania","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,516314.22,339345.73,357534.96,324555.21,169520.56,NA,NA,NA,NA,"ALB"
"8","Angola","CENTRAL AFRICA","Pentavalent",NA,NA,NA,NA,NA,9955433,4979342.91,9164262.59,11160833.95,8096165.1,4671888.93,3248895.69,2427931.15,465234.57,870975.26,NA,NA,"AGO"
"9","Angola","CENTRAL AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11437450.52,4824927.87,8059273.31,4876003.77,2256509.75,NA,"AGO"
"10","Angola","CENTRAL AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4469600.18,1598490.52,1585064.93,NA,"AGO"
"11","Angola","CENTRAL AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65001.0000000002,63151.75,NA,"AGO"
"12","Armenia","EURO","HepB","56618.75",81933.25,63642,53728.75,112376.83,39502.44,75675.91,46981.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ARM"
"13","Armenia","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,279114.6,408870.4,356589.26,344136.69,301582.36,169556.84,94339.64,NA,NA,"ARM"
"14","Armenia","EURO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,721865.51,35114.56,428183.44,135990,"ARM"
"15","Armenia","EURO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242314.19,75568.72,94180.43,55210.97,NA,NA,"ARM"
"16","Armenia","EURO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24734.05,59147.75,NA,"ARM"
"17","Azerbaijan","EURO","HepB","87193",120616,109270,139430,231833.72,176907.62,85212.37,57369.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
"18","Azerbaijan","EURO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1573422.15,456872.65,1054021.99,572643.94,237581.48,NA,NA,"AZE"
"19","Azerbaijan","EURO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295158.66,2773613.12,934207.06,1686627.87,NA,"AZE"
"20","Azerbaijan","EURO","DTP","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AZE"
"21","Azerbaijan","EURO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292013.25,388336.25,201520,"AZE"
"22","Bangladesh","SEARO","HepB",NA,72712,897791,2333440.73,5072935.57,3974913.78,6296518.4,1576154,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BGD"
"23","Bangladesh","SEARO","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1165358.93,2705158.8,1673179.08,1715983.61,1227581.48,NA,"BGD"
"24","Bangladesh","SEARO","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35781812.34,NA,NA,NA,NA,"BGD"
"25","Bangladesh","SEARO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,54567698.1,32683022.2,30697252.78,27371318.41,26980299.44,11484941.11,24043713.58,20230150,1041000,"BGD"
"26","Bangladesh","SEARO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12078401.08,37174576,45035170.54,15452000,"BGD"
"27","Bangladesh","SEARO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9660309.85,0,NA,"BGD"
"28","Benin","WEST AFRICA","HepB",NA,313229,320322,227190,99895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEN"
"29","Benin","WEST AFRICA","Pentavalent",NA,NA,NA,NA,3148230.54,5024031.3568,5544036.39,3341420.6,4669551.19,3018920.46,2950889.15,2231734.45,2284039.57,1877828.24,832193.53,1035606,NA,"BEN"
"30","Benin","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5227791.95,9363326.78,8683129.83,7168863.75,4050859.46,6559424,NA,"BEN"
"31","Benin","WEST AFRICA","Yellow Fever",NA,186308,157532,109075,248858.13,700563.3032,237238.9,250225.18,448184.72,429342.94,506927.65,14023.08,561895.78,462273.96,328640.14,503962.7,NA,"BEN"
"32","Benin","WEST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,535352.48,456796.5,NA,"BEN"
"33","Bhutan","SEARO","Pentavalent",NA,NA,NA,NA,NA,NA,NA,NA,115877.57,NA,77848.3,116830.09,88477.91,57963,31843.82,NA,NA,"BTN"
"34","Bhutan","SEARO","DTP",NA,NA,80428,61692,67224.33,105127.52,101780.38,100046.27,60142.18,17113.71,10802.13,NA,NA,NA,NA,NA,NA,"BTN"
"35","Bhutan","SEARO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29399.37,37549,NA,"BTN"
"36","Bolivia","PAHO","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900363.16,4363539.45,3349436.86,1161503.5,618540,NA
"37","Bolivia","PAHO","Rotavirus",NA,NA,NA,NA,NA,NA,NA,1753183,3262000,2814500,3018500,1192500,NA,NA,NA,NA,NA,NA
"38","Bolivia","PAHO","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255500,977500,571500,NA
"39","Bosnia & Herz","EURO","HepB",NA,NA,70000,25961.79,31218.25,44010.73,53128.54,36796.17,1563.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Bosnia & Herz","EURO","Hib",NA,NA,NA,NA,NA,NA,415532.04,346675.21,367233.13,358200.25,362400.9,NA,NA,NA,NA,NA,NA,NA
"41","Burkina Faso","WEST AFRICA","Measles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138445.99,309703.86,21752,NA,"BFA"
"42","Burkina Faso","WEST AFRICA","Measles-Rubella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000964.54,NA,NA,NA,"BFA"
"43","Burkina Faso","WEST AFRICA","Pentavalent",NA,NA,NA,NA,NA,9104667.41,8540710.67,9726532.03,9114936.75,5870486.61,2454235.4,4791387.37,2607836.92,3698262.77,3437104.12,2099532.5,NA,"BFA"
"44","Burkina Faso","WEST AFRICA","Pneumococcal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4787546.34,16001548.29,12540758.41,10461775.25,1322740,"BFA"
"45","Burkina Faso","WEST AFRICA","Rotavirus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2490635.54,9479163.75,7978633.87,8406775,1449050,"BFA"
"46","Burkina Faso","WEST AFRICA","IPV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34823.23,52074.25,NA,"BFA"
"47","Burkina Faso","WEST AFRICA","Meningitis A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534160,"BFA"
